"wealth","experienced_fistula","se"
1,0.00994076240345,0.00111110329329691
2,0.0118680452035664,0.00140690174573952
3,0.0104954004199531,0.0012334011394327
4,0.016921206110165,0.00185289581173786
5,0.0144370023667909,0.00182394123628321
