"country","experienced_fistula","se"
"Cote d'lvoire",0.011812990733427,0.00237714339105749
"GuineaBissau",0.0459720333871492,0.00311200430340458
"Mali",0.00461141706530786,0.000798470295735012
"Nigeria",0.00200706745023254,0.000418120539994155
"SierraLeone",0.0144131408488019,0.00155131522514311
"Togo",0.0102411625063562,0.00262162698911764
