"religion","experienced_fistula","se"
1,0.0142899932281012,0.00079305399841172
2,0.00856909961500837,0.00128335724138734
3,0.00313910829685851,0.00228598451380329
4,0.00566094872786035,0.00282729492407147
5,0,0
