"age","experienced_fistula","se"
1,0.014293794684206,0.0023348152674808
2,0.0123312499750642,0.0014650572084278
3,0.0119934657782848,0.00133880455350187
4,0.0117131053097441,0.00137773067498652
5,0.0129010426759579,0.00169992041642225
6,0.0125634930204422,0.00217291900191092
7,0.0167240673564693,0.00410467395088285
