"wealth","experienced_fistula0","experienced_fistula1","se.experienced_fistula0","se.experienced_fistula1"
"1",0.998509217662747,0.00149078233726466,0.000802680729437035,0.00080268072943705
"2",0.991930304956054,0.00806969504394884,0.00255967107480655,0.00255967107480656
"3",0.995227718545047,0.00477228145495264,0.0018037287141133,0.0018037287141133
"4",0.996191199625243,0.00380880037476081,0.00123476094544298,0.00123476094544299
"5",0.995320284948669,0.00467971505132994,0.00187421237149993,0.00187421237149993
