"age","experienced_fistula0","experienced_fistula1","se.experienced_fistula0","se.experienced_fistula1"
"1",0.993575376196675,0.00642462380332303,0.00329269865366089,0.00329269865366089
"2",0.996406706051194,0.00359329394881398,0.00140963831556713,0.00140963831556713
"3",0.995215690020637,0.00478430997936696,0.00148646669463299,0.001486466694633
"4",0.995752363262602,0.00424763673740349,0.0017004809597841,0.00170048095978411
"5",0.99650179701004,0.00349820298996161,0.00208412573751304,0.00208412573751304
"6",0.994235191970792,0.0057648080292085,0.00324067630198483,0.00324067630198483
"7",0.987779614733873,0.012220385266127,0.0102302251514893,0.0102302251514893
