"age","experienced_fistula0","experienced_fistula1","se.experienced_fistula0","se.experienced_fistula1"
"1",0.986254020097362,0.0137459799026357,0.00500390177535086,0.00500390177535086
"2",0.987052671658331,0.0129473283416666,0.00327307863068757,0.00327307863068757
"3",0.988382078131409,0.0116179218685924,0.00267077358942312,0.00267077358942312
"4",0.982089654833337,0.0179103451666597,0.00416278501745052,0.00416278501745051
"5",0.985670940413205,0.0143290595867915,0.00381580441397999,0.00381580441397999
"6",0.982916213373066,0.0170837866269336,0.00664199505724479,0.00664199505724479
"7",0.974111989087382,0.0258880109126176,0.0110065523044362,0.0110065523044362
