"wealth","experienced_fistula0","experienced_fistula1","se.experienced_fistula0","se.experienced_fistula1"
"1",0.979764970794819,0.0202350292051814,0.00397922496281195,0.00397922496281195
"2",0.98240160565324,0.0175983943467604,0.00364264018685215,0.00364264018685216
"3",0.985778550420005,0.0142214495799881,0.00343514584942277,0.00343514584942277
"4",0.990767253259452,0.00923274674055104,0.00269987665445442,0.00269987665445442
"5",0.990718256563629,0.00928174343637001,0.00315278092950349,0.00315278092950349
