"wealth","experienced_fistula0","experienced_fistula1","se.experienced_fistula0","se.experienced_fistula1"
"1",0.998426383757939,0.00157361624207062,0.000710038409660533,0.000710038409660533
"2",0.997819637466716,0.00218036253327304,0.00100945602932117,0.00100945602932116
"3",0.997547524305774,0.00245247569422319,0.00102774351986722,0.00102774351986721
"4",0.997997154598593,0.00200284540141372,0.000896760487559677,0.000896760487559682
"5",0.998169026849648,0.00183097315035267,0.000995093750067184,0.000995093750067184
