"age","experienced_fistula0","experienced_fistula1","se.experienced_fistula0","se.experienced_fistula1"
"1",0.996115963232071,0.00388403676792842,0.002273429456556,0.002273429456556
"2",0.995910212141437,0.00408978785856005,0.00130775644760955,0.00130775644760955
"3",0.998097523295754,0.00190247670424115,0.00092651437954259,0.00092651437954259
"4",0.999164092559251,0.000835907440746394,0.00044672553821348,0.000446725538213479
"5",0.998187797442674,0.00181220255732721,0.000916464345344839,0.00091646434534484
"6",1,0,2.2153597666603e-17,0
"7",0.999999999999999,0,6.78191861319048e-17,0
