"delivery_place","experienced_fistula0","experienced_fistula1","se.experienced_fistula0","se.experienced_fistula1"
"1",0.997591943734933,0.00240805626506277,0.00063068963090013,0.00063068963090013
"2",0.998431363482563,0.00156863651743597,0.00111254778187856,0.00111254778187856
"3",0.998535497205728,0.0014645027942601,0.000556868119753836,0.000556868119753834
