"wealth","experienced_fistula0","experienced_fistula1","se.experienced_fistula0","se.experienced_fistula1"
"1",0.968298719982104,0.0317012800178984,0.00531030420796676,0.00531030420796676
"2",0.964925202949647,0.0350747970503578,0.00601044181821362,0.00601044181821361
"3",0.96169767282815,0.0383023271718518,0.0064861931249565,0.00648619312495651
"4",0.92508085712014,0.0749191428798576,0.00892646512332499,0.00892646512332499
"5",0.944425202633962,0.0555747973660422,0.00828133043552099,0.00828133043552098
