"religion","experienced_fistula0","experienced_fistula1","se.experienced_fistula0","se.experienced_fistula1"
"1",0.95122656911337,0.0487734308866442,0.00333792930297301,0.00333792930297301
"2",0.968766275902909,0.0312337240970933,0.00992512179201856,0.00992512179201856
"3",1,0,0,0
"4",1,0,0,0
