"age","experienced_fistula0","experienced_fistula1","se.experienced_fistula0","se.experienced_fistula1"
"1",0.951232282115385,0.0487677178846124,0.0104930527255471,0.0104930527255471
"2",0.951783909353484,0.0482160906465172,0.00704224222973801,0.00704224222973801
"3",0.960496535983757,0.0395034640162479,0.0057405049019128,0.0057405049019128
"4",0.953445354938171,0.0465546450618277,0.00692071371325584,0.00692071371325584
"5",0.949709194738946,0.050290805261057,0.00900353817471382,0.00900353817471382
"6",0.955010648693955,0.0449893513060453,0.0104198895659997,0.0104198895659997
"7",0.946205620939413,0.0537943790605858,0.0178150055392729,0.0178150055392729
