"age","experienced_fistula0","experienced_fistula1","se.experienced_fistula0","se.experienced_fistula1"
"1",0.985706205315794,0.014293794684206,0.00233324162079611,0.00233324162079611
"2",0.987668750024939,0.0123312499750642,0.00146353513214923,0.00146353513214923
"3",0.988006534221709,0.0119934657782848,0.00133740433394103,0.00133740433394103
"4",0.988286894690255,0.0117131053097441,0.00137591278612987,0.00137591278612987
"5",0.987098957324047,0.0129010426759579,0.00169827426809941,0.00169827426809941
"6",0.987436506979557,0.0125634930204422,0.00217162596748188,0.00217162596748188
"7",0.98327593264353,0.0167240673564693,0.00410363261492904,0.00410363261492903
