"delivery_professional","experienced_fistula0","experienced_fistula1","se.experienced_fistula0","se.experienced_fistula1"
"1",0.98642265353081,0.0135773464692087,0.00074502216953754,0.00074502216953754
"2",1,0,6.03330443811451e-17,0
"3",0.993304873707176,0.00669512629281002,0.00110439330947664,0.00110439330947663
