"postpartum_care","experienced_fistula0","experienced_fistula1","se.experienced_fistula0","se.experienced_fistula1"
"1",0.97455036799153,0.0254496320084515,0.00183418998602173,0.00183418998602173
"2",1,0,6.52792891035577e-17,0
"3",0.991993017325914,0.00800698267407784,0.00060467709548166,0.00060467709548166
