"wealth","experienced_fistula0","experienced_fistula1","se.experienced_fistula0","se.experienced_fistula1"
"1",0.990059237596557,0.00994076240345,0.0011098147941932,0.0011098147941932
"2",0.988131954796419,0.0118680452035664,0.00140597524665556,0.00140597524665556
"3",0.989504599580044,0.0104954004199531,0.00123210312533942,0.00123210312533942
"4",0.983078793889841,0.016921206110165,0.0018487224164111,0.0018487224164111
"5",0.985562997633217,0.0144370023667909,0.00182187344348872,0.00182187344348873
