"wealth","experienced_fistula0","experienced_fistula1","se.experienced_fistula0","se.experienced_fistula1"
"1",0.994550739140362,0.00544926085963886,0.00186204648997267,0.00186204648997267
"2",0.989325535657844,0.0106744643421627,0.00545483504695781,0.00545483504695779
"3",0.993743303731724,0.00625669626828005,0.00220764405987886,0.00220764405987886
"4",0.981368275842663,0.0186317241573384,0.00759188368940415,0.00759188368940415
"5",0.978688492055462,0.021311507944539,0.00821014624070438,0.00821014624070438
