"age","experienced_fistula0","experienced_fistula1","se.experienced_fistula0","se.experienced_fistula1"
"1",0.995230836723916,0.0047691632760836,0.0027020110401112,0.0027020110401112
"2",0.989461691814091,0.0105383081859166,0.00514031953402162,0.0051403195340216
"3",0.980118144932731,0.0198818550672743,0.00639293302651163,0.00639293302651162
"4",0.990906681731296,0.00909331826871296,0.00452836159764639,0.00452836159764637
"5",0.988736702810674,0.0112632971893266,0.00524362761543237,0.00524362761543237
"6",0.992504071724417,0.00749592827558389,0.00533250991252111,0.00533250991252111
"7",1,0,1.81039211151555e-17,0
