"contraception_use","experienced_fistula0","experienced_fistula1","se.experienced_fistula0","se.experienced_fistula1"
"1",0.991167045629669,0.0088329543703374,0.00290521407234571,0.00290521407234573
"2",0.987671597015048,0.0123284029849321,0.00296543931753312,0.00296543931753315
"3",0.983029347311864,0.0169706526881361,0.0121780683187117,0.0121780683187117
