"religion","experienced_fistula0","experienced_fistula1","se.experienced_fistula0","se.experienced_fistula1"
"1",0.986982764867391,0.0130172351326003,0.00336354627514715,0.00336354627514717
"2",0.987425340208352,0.0125746597916436,0.00393535909515922,0.00393535909515923
"3",1,0,4.08126526481332e-17,0
"4",0.999999999999998,0,1.12232848066694e-16,0
"5",1,0,1.02718851896243e-16,0
