"occupation","experienced_fistula0","experienced_fistula1","se.experienced_fistula0","se.experienced_fistula1"
"0",0.98230254972831,0.0176974502716831,0.00444379156955275,0.00444379156955276
"1",0.992055374710866,0.00794462528913126,0.002643652608172,0.002643652608172
"2",1,0,2.94994292447822e-17,0
