"age_sex","experienced_fistula0","experienced_fistula1","se.experienced_fistula0","se.experienced_fistula1"
"1",0.993984109750375,0.00601589024962989,0.00300589079714965,0.00300589079714965
"2",0.991021465051409,0.00897853494859125,0.00894775226305159,0.00894775226305159
"3",0.984324838776997,0.0156751612230031,0.00485234222118021,0.00485234222118021
