"education","experienced_fistula0","experienced_fistula1","se.experienced_fistula0","se.experienced_fistula1"
"0",0.98724652676674,0.0127534732332658,0.00374380628631801,0.00374380628631801
"1",0.991395716862926,0.00860428313707212,0.00447867656806488,0.00447867656806488
"2",1,0,3.76394557121684e-17,0
"3",1,0,1.0424451609308e-16,0
