"wealth","experienced_fistula0","experienced_fistula1","se.experienced_fistula0","se.experienced_fistula1"
"1",0.992518937241923,0.00748106275807146,0.00335301830070821,0.00335301830070822
"2",0.988389426561312,0.0116105734386864,0.00536268269364126,0.00536268269364126
"3",0.995134821051608,0.00486517894839113,0.00345240464114713,0.00345240464114713
"4",0.990204810723086,0.00979518927691419,0.0097537296642314,0.0097537296642314
"5",0.961375197575565,0.0386248024244347,0.0218972177466286,0.0218972177466286
