"age","experienced_fistula0","experienced_fistula1","se.experienced_fistula0","se.experienced_fistula1"
"1",1,0,2.66906579439967e-17,0
"2",0.997530814882027,0.0024691851179719,0.00246907258360127,0.00246907258360127
"3",0.99235146529721,0.00764853470278906,0.00453028832220045,0.00453028832220045
"4",0.990502805476101,0.0094971945238983,0.00558463353839531,0.00558463353839531
"5",0.986210700759744,0.0137892992402555,0.0069730229123248,0.0069730229123248
"6",0.97081190420434,0.0291880957956588,0.0147471822082457,0.0147471822082457
"7",0.987775742746542,0.0122242572534578,0.0121622036171395,0.0121622036171395
